,分词结果,label,act_label,预测结果,人工分类
190,申请 白金卡 几年 前有 张 交通卡 印象 中 额度 万 没什么 权益 注销 卡可 玩儿 网络 获批 白金 申请 经典,13,13,申请,申请
191,曲线 曲线 这辈子 曲线 用卡 王道,20,20,还款,还款
192,买单吧 款 系统故障 入账  号 入账 算 逾期  号 买单吧  快捷 款 系统故障 钱扣 入账  号 入账 算 逾期 投诉 投诉,20,20,还款,还款
193,网申 沃尔玛 查询 不到 记录  里 查不到 记录 申请 重复 申请,8,8,好享贷,好享贷
194,卡包 套现  卡宝 套现 每次 同一个 收款 没事,8,8,好享贷,好享贷
195,连续 天 抽到 减 现金 红包 如题 积分 抽奖 情况 连续 天过 点 签到 积分 抽奖,16,16,积分,积分
196,账单 日后 两天 自动 提额 六期 账单 第二天 自动 提额,19,19,账单,账单
197,跳 短信内容 辛亏 两千 额度 一会儿 消了,8,22,好享贷,额度调整
198,沃尔玛 金卡 拒 普卡用 五年 额度 万金 卡 拒 真 伤心 普卡 金卡 区别,13,13,申请,申请
199,封卡 说 风险 情况 封卡 额度 卡 搞 事情,20,22,还款,额度调整
200,白麒麟 鄙视 说 破,20,20,还款,还款
201,屡申 拒 两年 前 销过 卡 拒 昨天 没多久 拒 办法 工农 中 广 兴华 民生,20,0,还款,APP
202,小黑 屋 八月 账单 没出 额度 存 一万 刷 五笔 刷 九千 小黑 屋,19,19,账单,账单
203,调额 要查 征信 资质 不好 凉凉 如题 提额 会查 征信,22,22,额度调整,额度调整
204,人品  调额 如图 临额 到期 超限 人品  能调 调 超限 还清 白麒麟 能调 求助 调 迟 几天,20,20,还款,还款
205,纯白 第一张 怎么回事 网申 柜台,20,20,还款,还款
206,沃尔玛 普卡   留 两年 去年  提到  出过 几次 临额 微信 支付宝 套出来 刷刷 白条 卡 打电话 销卡 前两天 闲着没事 申请   额  问 留 提额 沃尔玛 超市 .  积分 干什么,16,16,积分,积分
207,买单 力 合格 万换  买单 力 合格 万换   元 刷卡金 形式 返还,10,10,市场活动,市场活动
208,抱歉 提供 信息 渠道 请 指点,20,20,还款,还款
209,一年 提额 额度 一万 刷 爆 情况 一年 前 打电话 邀请 取现 可用  全额 取现 这阵子 刷 爆 冒出来 一千 临额 月 有效期 提额 前兆 月 用卡 合适 每期 账单 前 欠款 控制 百分之,22,22,额度调整,额度调整
210,想 申 卡 想 申请 拒 有没有 放水 已有 中建 工农 邮 五张 卡 指教,13,8,申请,好享贷
211,临时 额度 到期 跟着 账单 走 求求 有人 超限 费,20,20,还款,还款
212,有没有 上门  有没有 上门 销卡 月 网申,21,21,销卡、销户,销卡、销户
213,普卡 额度 上限 万 张普卡 万 提额,22,22,额度调整,额度调整
214,求 解答 消费 一比  选择 珠宝 跳 汽贸 账单 入帐 中 有个 小括号 含 语言 强制 发 图片,19,19,账单,账单
215,万年 . 不提 好享贷 情况 好几年 提,8,8,好享贷,好享贷
216,银联 闪付 只能 付  明天 搞   积分 搞定,16,16,积分,积分
217,提 临时 固定 长期 空卡,10,10,市场活动,市场活动
218,额度 共享 昨天 京东 小白 秒 批  申请 批  两个 卡是 共享,8,8,好享贷,好享贷
219,实测 周周刷 邮寄 地址 更改 办法 号 外 昨天 查 周周刷 中奖  姓名 邮寄 地址 联系电话 不到 退回 赶紧 手忙脚乱 更改 信息 里 方法 试 改不 说 打电话 客服 能改 果断  简单 核实 过后 人工 帮忙 更改 甚 改 地址 改好 亲 尝试 坐下 娇娇 金 哼哈二将 小白 太瘦 小金   故想 增肥 食欲不振 维持现状 今给 客服 卡片 太 行 小金 小白会 技能 欲 小金 返回 原厂 提出 小白 增肥 一事 拒 告知 去年 原厂 打算 赐 一套 永久 套装 增肥来 摆 周岁 宴故 只能 租 一套 临时 铠甲 临额 月 周岁 时 有望 赐 一套 永久 套装 请 小金 返厂 不知 真否,1,1,个人信息,个人信息
220,无耻 卡变 异常 销卡 投诉 事件 发生 时间 记不清 去年 年 尾 套现 非 消费 停 停 妈 卡 原因 记得 短信 印象 中是 上传 消费 小票 找 东西 只能 遵从 不让 销卡 怎么回事 人工 说 当天 钱 没到 账 不让 注销 事情 忙 这事 拖 时间 拖 月 月 扣 几块钱 扣 半年 电话 转 人工 发条 短 信 挂机 老娘 旅游 安排 事情 查看 短信 发现 卡 还款 日 天 钱 手机 打电话 不通 我用 陌生 打通 人工 客服 卡片 注销 关键 钱 当天 没到 账 注销 找 借口 咯 机构 凡事 讲理 强盗 月 几十块 钱 搞 大半年 拖 大半年 年 翻 短信 这笔 账单 忘 老娘 要成 信用 黑户 想 问 做事 讲 讲点 原则 这事 说 听 不要脸,21,21,销卡、销户,销卡、销户
221,说 . 看图 说 .,20,20,还款,还款
222,年 销卡 网申 秒 拒 线下 有戏,21,21,销卡、销户,销卡、销户
223,一周 选 奖品 达标 降级,10,10,市场活动,市场活动
224,以卡办卡 去年 月份 销了 第一张 月 网申 提示 提交 重复 提交 网申 入口 无缘 懂 为啥 网点 万 白金 以卡办卡 行不行,20,0,还款,APP
225,激活 差劲 激活 碰到 吃饭 一台 机器 激活 挺多人 慢悠悠 吃饭 终端机 操作 工作人员 审核 吃完饭 说 哪一位 找到 激活 第一位 信息 录完 说 先 帮 激活 其他人 脸 黑,11,11,开卡,开卡
226,少 分 一个月 电脑 少分 一个月 电脑 说 傻 手续费 钱 朋友,10,8,市场活动,好享贷
227,普卡 刚升  申 白麒麟 三无 人员 没砖 前 几天 刚提 额度 想 申有 高 额度 点 意见,22,22,额度调整,额度调整
228,几个 月 最低 前 月 账单 最低 月 打算 全款 降额 风控,20,20,还款,还款
229,苏宁 白新户 免 年 免费 首年 年 刷 次 次年 免 样子,10,10,市场活动,市场活动
230,加办 沃尔玛 卡 查不到 进度 条 所说 一年 加办 金卡,13,13,申请,申请
231,提额 情况 六个月 提示,20,20,还款,还款
232,发短信 暂 管控 换 设备 登录 取现 款 打电话 核实 忘记 换 手机 登录 说 几句 短信 管控 打电话 操作 客服 说 核实 交易 记录 工作日 解除 没救,8,0,好享贷,APP
233,求助 华夏 搬 砖 提额 手头 砖想 问问 存 大额 砖 买 理财 存 定期 月 月 麻烦 经验 指教,0,0,APP,APP
234,夜深 洗洗 睡 记录 第一次  积分 第一次 首提,16,16,积分,积分
235,两单 刷 说 凭证 能过,20,8,还款,好享贷
236,好几年 不提 月 提   几个 月 提到  卡 刷 提 几年 本来 绝望 前个 月 因公 外省 只好 用手 刷 商户 选 选择 订 旅行社 二场 高尔夫 弄 户外运动 月 提固额  临额 神马 刷 浮云 高 消费 经验 卡友 请 验证,10,10,市场活动,市场活动
237,积 分 重点 篇 凭着 标杆 性 返利 历史 政策 招牌 性 神卡 联名卡 必不可少 最红星期五 活动 打下 坚实 口碑 各行 权益 政策 缩水 条件 加码 喜欢 玩卡 小伙伴 人手 积分 重点 积 分 计算 规则 元 积分 美元 积分 生日 多倍 积 分 推荐 东航 联名 沃尔玛 卜蜂 莲花 乐购 华润 万家 华润 苏果 卡 之外 卡 生日 当天 倍 积分 万 封顶 白金卡 生日 当天 倍 积分 万 封顶 重点 云闪付 线上 快捷 支付 积分 支付宝 微信 京东 百度  超市 类   加油 类   航空 售票  积分 一点 积 分 行业 例外 无积 分到 账 情况 客服 沟通 刷卡 商户 三农 县乡 商户 通道 积分 正规 大型超市 积分 境外 刷卡 多倍 积 分 境外 消费 当月 倍 积分 超红 当日 倍 积分 活动 门槛 略有 出行 推荐 积 分 有效期 积 分 之日起 年内,16,16,积分,积分
238,尴尬 额度 请教 大佬   普卡 额度  额度 共享  寄卡 过程 中 一卡 首提 额度  激活 优逸白 发现 两个 卡 额度   优逸白 不用 普卡 额度 怎么弄 大佬,22,22,额度调整,额度调整
239,销卡  申请 前 两年 万 卡 销卡 跟风 优益 填 资料 提示 网上 柜台 柜台 申请 机会,21,21,销卡、销户,销卡、销户
240,刷卡 姿势 正确 月 六个月 提 有没有 月 提 固定,20,20,还款,还款
241,二卡 额度 一卡 提额 难瘦 第一张 卡 额度  第二张  涨 说 曲线 提额,22,22,额度调整,额度调整
242,临额 逾期 临额 逾期 三到 四天 进黑屋,20,20,还款,还款
243,年 月 申请 白金  天  年 月 激活 第一年 免年费 貌似 核卡  天后 刷够 次免 年费 激活 肯定  天 激活 过才 免年费,11,11,开卡,开卡
244,好现贷 . 万 没用 发现 不见 月 前 自带 好享贷 万 好现贷 . 万 好享贷 没管 好现贷 发现 . 万 好现贷 消失 帮忙 分析 分析,8,8,好享贷,好享贷
245,万年 拒 万年 拒 推荐办卡 不行 破,10,10,市场活动,市场活动
246,% 提 负债 五成 中国 成 临时 额度 手欠 不好 多查 征信,22,22,额度调整,额度调整
247,查 办卡 填 资料 太久 忘 填 查 单位 单位地址 求,13,13,申请,申请
248,团长 团 团 没人刷 第一期 大佬 几天 冲刺 锅队  名才 刷  上期 这时候,20,20,还款,还款
249,白麒麟 蓝色 天下 卡 卡 积 分 只能 换 沃尔玛 刷卡金  万分 打算 换张 卡 号 网申 标准 白金卡  号 收到 卡片  额度 包装 简陋 张 附属卡 免费 权益  积分免 所有主 卡 附属卡 年费 每次 出去玩 小孩 机场 权益 祝 提额 顺利,22,22,额度调整,额度调整
250,菜卡 网申 养  菜卡 网申 养 激活,11,11,开卡,开卡
251,哈哈哈,20,20,还款,还款
252,再见 用卡 年 临时 额度 手续费 千多 真 储蓄卡 有钱 王道 加油,22,22,额度调整,额度调整
253,办理 沃尔玛 提示 办 标准 金卡 金卡 想 买单吧 申请 提示 办 只能 新 户办 沃尔玛,13,13,申请,申请
254,周周刷 云台 中奖 收到 中奖 云台 通知  万 开心 哈哈哈,10,10,市场活动,市场活动
255,套路 小交首 卡 标准 金  年 额度 提到  月份 收到 邀请 果断 额度 感人 曲线  白麒麟 权益 实在 不到 想销 申请 金 昨天 申请 额度 想象  小交 套路,22,22,额度调整,额度调整
256,沃尔玛 人生 第一张 普卡  一年 没破首 提 想 曲线 沃尔玛 金 额度 意外 共享,16,16,积分,积分
257,进黑屋 月 刷 两笔 一共 万 大额 月份 临额 好享贷 额度 记录 已上 图 破,8,8,好享贷,好享贷
258,八年 话 说 年 首卡 小脚 懂 遇见 个二货 小姑娘 业务员 收入 报 低 行业 不好 五千 第一张 月 真实 消费 做 好享贷 小脚 身上 赚 八年 逾期 提 一千块 张卡 青年 普卡 卡号 背下来 感情 不舍 消 想 问问 自带 黑屋 压根 提额 纯属 好奇 仔细 研究,8,8,好享贷,好享贷
259,情况 办法 说 总 额度 高     菜卡   加  万 临时 额度 万左右 前两天 活动 想 可惜 办法 破,22,22,额度调整,额度调整
260,白麒麟 卡 提额  点击 调额 符合 调额 标准 我想 问友们 点 调额 查 征信,22,22,额度调整,额度调整
261,算算 好享贷 点 现金 预约 转 鬼 浪费 表情,8,8,好享贷,好享贷
262,三月 申请 交通卡 秒 激活 半个 月 前 自动 注销 好像 月 号 自动 注销 拉 征信 报告 一看 张卡 激活 卡,21,11,销卡、销户,开卡
263,仔细 跳 降额,20,20,还款,还款
264,好享贷 能代,8,8,好享贷,好享贷
265,提额 销卡 很多年 白金 二年 额度  提 前 几天 白金 欠款 全 打电话 客服 鸡肋 白金 一顿 大骂 愤怒  额度 免年费 销卡 爷 几次 提额 电话 花钱 二天 内回 电话 告诉 做好 销卡 电话 里 装 大爷 成 无所谓,21,21,销卡、销户,销卡、销户
266,邀请 邀请 办 白金卡 白金卡 特别 额度,13,13,申请,申请
267,逾期 四天 办法 月  号 还款 日 月 号 收到 一条 提醒 短 信 忘记 这事 收到 短信 说 逾期 征信 客服 电话 说 逾期 没法 消除 提醒 投诉 渠道 提交 房贷 没办,20,20,还款,还款
268,提额 翻倍 张卡 好好 用过 . 月 一笔 一笔 提额,22,22,额度调整,额度调整
269,临时 额度 到期 额度 负有 超限 费 超限 费,22,22,额度调整,额度调整
270,想 问问 贷款 未 还清 逾期 征信 被查 次 批下来 华夏 拒绝 原因 申请人 不知 办法 事宜 诶 华夏 电话 申请 还清  逾期,4,4,信用记录,信用记录
271,点 签到 积分 骚 操作 点 买单吧 签到 积分 骚 操作,16,16,积分,积分
272,好几 月 不降 额 情况 类似 情况 好几 月 不降 额 情况 类似 情况,10,20,市场活动,还款
273,阿娇 拒后 申请 昨天 申老白 秒 拒 提交,13,13,申请,申请
274,临时 固定 求 指教 权限 降级 灌水 次 经验 清零 榜样 有样学样 昨晚 临时 额度 万 总额 临时 . 万 不用 卡是 . 月 昨天 提额 日 固定 提 临时 提 不提,22,22,额度调整,额度调整
275,美元 交易 多倍 积 分 压 卡消费  上用 美元 消费 好像 多倍 积分且 压 卡消费 客服 说 人民币 付款 划算,20,20,还款,还款
276,沃尔玛 卡 一年 兑 积分 发现 年底 兑换 万积分 年 兑 兑 万 买单吧 联名卡 专区,16,16,积分,积分
277,申二卡 申二卡 为啥 提示,20,20,还款,还款
278,周周刷 邮寄 月底 邮寄,10,10,市场活动,市场活动
279,沃德 达标 超过 天 没出 白麒麟 推荐 月底 存  砖 月 开 沃德 沃德 达标 天 啥时候 推荐 推荐 咋办,10,10,市场活动,市场活动
280,卡神来 指点迷津 标准 普卡  两个 月 前 固额 提   临额  临额 上个月 提前 固额   临额 应不应该 求 指教,10,20,市场活动,还款
281,阿娇 借记卡 小额 免密 功能 找 不到 关闭 地方 阿娇 借记卡 小额 免密 功能 找 不到 关闭 地方 关闭 找到 阿娇能 别坑 卡友 选择权,0,12,APP,支付
282,求 破解 下卡 体制 多年 年 申金 张普  嫌弃 没卡 注销  年申 白金 金 额度 未知 电话 征信 说 好像 差 想要 白麒麟 金凤凰 拒 求 破解,22,8,额度调整,好享贷
283,沃尔玛 积分 太多 年 年 积分 超出 有没有 点 二卡 至少 积 分 浪费 就别 推荐 不好,16,16,积分,积分
284,贷后 管理 固定 . 万 买单吧 点击 调整 额度 查 征信 调到 . 万 原 . 输完 验证码 调额 失败,22,22,额度调整,额度调整
285,这连个 人影 额 新郑 机场 沃德 贵宾厅 体验 人影 太 冷清,20,16,还款,积分
286,白麒麟 提完 固定 提 临时 好享贷 上个月 提 固定 . 闲着没事 登陆 买单吧 临时 提 提了 不用 看着 舒服 多用 固定 两个 月 每月 笔 微信 支付宝 刻意 刷 商户,8,8,好享贷,好享贷
287,铁公鸡 一年 提过 临时 提了 一两千 服气 手里 提过 卡 一年 没提 昨天 提了 铁公鸡 刷卡 提,10,20,市场活动,还款
288,好享贷 影响 提额 去年 万 好享贷 分 期 期 固定 临时 破 完 调额,8,8,好享贷,好享贷
289,封卡 解封 . 万 封卡 小票 上传 差 小票 找到 解封 有没有,10,16,市场活动,积分
290,申卡会 公司 电话 交通网 申 填 公司 电话 说 秒 秒 拒,13,13,申请,申请
291,买单 宝会 有助于 提额 十八周岁 第一张 标准 普卡 额度 太低  申请 第二张  有个 买单 宝 放 点 钱 有助于 提额 申请 金卡 提示 评分,22,22,额度调整,额度调整
292,收到 风控 短信 吓人,10,10,市场活动,市场活动
293,气死我了 年 月 人生 第一张 金凤凰  三年 提  关键  三年 卡  年 入 卡圈 二卡 悲剧 曲线 降额 今年年初 一怒之下 销卡 真香 尝试  提交 月底 网点 进件 拒 昨天 客服 询问 原因 去年 最先 销 张卡有 分钱 溢 存款 销户,21,21,销卡、销户,销卡、销户
294,隔天 能出 周周刷 更新 数据,10,10,市场活动,市场活动
295,搬过 砖 受过 邀请 拒绝 主动 申请 可行 去年 年前 搬 块砖 前期 家里 买 大额 理财 卡 买 买过 卡里 留有 砖 转出去 背景 月 两次 电话 邀请 我办 白金卡 说 额度 至少 万起 办理 主动 白金卡 还会 下卡 额度 还会 邀请 电话 说 高 剩半 块砖 买 理财 家里 买 大额 理财 几百 砖 几百 砖买 那种 卡里 没砖,13,13,申请,申请
296,沃尔玛 卡积 分有 超市 积分 干什么,16,16,积分,积分
297,提示 查询 征信 提额 账单 号 第七个 账单 日   上传 图片,19,19,账单,账单
298,好养 值得 养  __________,20,20,还款,还款
299,变阿娇 股东 电话 邀请 白金 张普卡 . 额度 刷 社保 基金 突要 减持 股份 砸锅卖铁 筹 点 钱 社保 减持 买 第二天 阿娇 电话 邀请 白金 效率 枉费 做 股东,10,9,市场活动,客服热线
